sf_object,sf_field,sf_record_id,sf_value,sf_last_modified,sf_modified_by,db2_table,db2_column,db2_value,db2_last_updated,last_deployed_at,integration_name,discrepancy_type,severity
Contact,MailingCity,0031Q00001AbCdEfAA,Chicago,2026-04-15T09:22:00,batch_sync@recon.ai,DB2_CONTACT_MASTER,MAILING_CITY_NM,CHICAGO_IL,2026-04-15T09:25:00,,SF_DB2_CONTACT_SYNC,VALUE_MISMATCH,P2
Contact,Phone,0031Q00001GhIjKlAA,+1-312-555-7821,2026-04-18T14:05:00,user@client.com,DB2_CONTACT_MASTER,PHONE_NBR,,2026-03-10T08:00:00,,SF_DB2_CONTACT_SYNC,NULL_DOWNSTREAM,P2
Contact,TaxId__c,0031Q00001MnOpQrAA,XXX-XX-9921,2026-04-22T11:30:00,batch_sync@recon.ai,DB2_CONTACT_MASTER,TAX_IDENT_NBR,XXX-XX-1129,2026-04-22T11:35:00,2026-04-22T10:45:00,SF_DB2_CONTACT_SYNC,VALUE_MISMATCH,P1
FinancialAccount__c,AnnualIncome__c,a0B1Q000002StUvWxAA,185000.00,2026-04-10T16:45:00,advisor@client.com,DB2_FIN_ACCOUNT,ANNUAL_INCOME_AMT,150000.00,2025-11-30T09:00:00,,SF_DB2_FIN_ACCT_SYNC,STALE_VALUE,P2
FinancialAccount__c,AccountStatus__c,a0B1Q000002YzAbCdAA,Active,2026-04-25T08:15:00,batch_sync@recon.ai,DB2_FIN_ACCOUNT,ACCT_STATUS_CD,SUSPENDED,2026-04-25T08:20:00,2026-04-25T07:30:00,SF_DB2_FIN_ACCT_SYNC,VALUE_MISMATCH,P1
FinancialAccount__c,BalanceAmt__c,a0B1Q000002EfGhIjAA,47250.00,2026-04-12T10:30:00,advisor@client.com,DB2_FIN_ACCOUNT,BALANCE_AMT,,,,SF_DB2_FIN_ACCT_SYNC,MISSING_RECORD,P3
KYC_Record__c,VerificationStatus__c,a0C1Q000003KlMnOpAA,Verified,2026-04-20T15:10:00,kyc_pipeline@recon.ai,DB2_KYC_RECORD,VERIFICATION_STATUS_CD,PENDING,2026-04-18T12:00:00,,KYC_INTEGRATION_PIPELINE,VALUE_MISMATCH,P2
KYC_Record__c,VerificationStatus__c,a0C1Q000003QrStUvAA,Verified,2026-04-21T09:45:00,kyc_pipeline@recon.ai,DB2_KYC_RECORD,VERIFICATION_STATUS_CD,VERIFIED,2026-04-21T09:50:00,,KYC_INTEGRATION_PIPELINE,DUPLICATE_DOWNSTREAM,P3
Address__c,PostalCode,a0D1Q000004VwXyZaAA,60614,2026-04-08T11:20:00,address_sync@recon.ai,DB2_ADDRESS_MASTER,POSTAL_CD,60601,2024-06-15T08:00:00,,SF_DB2_ADDRESS_SYNC,STALE_VALUE,P3
Address__c,StateCode,a0D1Q000004BcDeFgAA,IL,2026-04-30T16:55:00,batch_sync@recon.ai,DB2_ADDRESS_MASTER,STATE_CD,,2026-04-28T14:30:00,,SF_DB2_ADDRESS_SYNC,NULL_DOWNSTREAM,P3
